FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
109, 0.023318, 160, 3, 10, 300, 1600, 900, 
110, 0.022129, 160, 3, 10, 300, 1600, 900, 
111, 0.021181, 160, 3, 10, 300, 1600, 900, 
112, 0.022639, 160, 3, 10, 300, 1600, 900, 
113, 0.021577, 160, 3, 10, 300, 1600, 900, 
114, 0.021026, 160, 3, 10, 300, 1600, 900, 
115, 0.022964, 160, 3, 10, 300, 1600, 900, 
116, 0.020957, 160, 3, 10, 300, 1600, 900, 
117, 0.021871, 160, 3, 10, 300, 1600, 900, 
118, 0.022201, 160, 3, 10, 300, 1600, 900, 
119, 0.021187, 160, 3, 10, 300, 1600, 900, 
120, 0.020336, 160, 3, 10, 300, 1600, 900, 
121, 0.021040, 160, 3, 10, 300, 1600, 900, 
122, 0.022136, 160, 3, 10, 300, 1600, 900, 
123, 0.019878, 160, 3, 10, 300, 1600, 900, 
124, 0.019291, 160, 3, 10, 300, 1600, 900, 
125, 0.022576, 160, 3, 10, 300, 1600, 900, 
126, 0.020880, 160, 3, 10, 300, 1600, 900, 
127, 0.021738, 160, 3, 10, 300, 1600, 900, 
128, 0.021281, 160, 3, 10, 300, 1600, 900, 
129, 0.019812, 160, 3, 10, 300, 1600, 900, 
130, 0.020777, 160, 3, 10, 300, 1600, 900, 
131, 0.019842, 160, 3, 10, 300, 1600, 900, 
132, 0.020247, 160, 3, 10, 300, 1600, 900, 
133, 0.020304, 160, 3, 10, 300, 1600, 900, 
134, 0.019313, 160, 3, 10, 300, 1600, 900, 
135, 0.019726, 160, 3, 10, 300, 1600, 900, 
136, 0.018936, 160, 3, 10, 300, 1600, 900, 
137, 0.018044, 160, 3, 10, 300, 1600, 900, 
138, 0.017516, 160, 3, 10, 300, 1600, 900, 
139, 0.018391, 160, 3, 10, 300, 1600, 900, 
140, 0.018284, 160, 3, 10, 300, 1600, 900, 
141, 0.018056, 160, 3, 10, 300, 1600, 900, 
142, 0.018145, 160, 3, 10, 300, 1600, 900, 
143, 0.017190, 160, 3, 10, 300, 1600, 900, 
144, 0.017642, 160, 3, 10, 300, 1600, 900, 
145, 0.017665, 160, 3, 10, 300, 1600, 900, 
146, 0.017419, 160, 3, 10, 300, 1600, 900, 
147, 0.017363, 160, 3, 10, 300, 1600, 900, 
148, 0.016720, 160, 3, 10, 300, 1600, 900, 
149, 0.025008, 160, 3, 10, 300, 1600, 900, 
150, 0.026010, 160, 3, 10, 300, 1600, 900, 
151, 0.024717, 160, 3, 10, 300, 1600, 900, 
152, 0.029341, 160, 3, 10, 300, 1600, 900, 
153, 0.024590, 160, 3, 10, 300, 1600, 900, 
154, 0.026024, 160, 3, 10, 300, 1600, 900, 
155, 0.023982, 160, 3, 10, 300, 1600, 900, 
156, 0.027190, 160, 3, 10, 300, 1600, 900, 
157, 0.024091, 160, 3, 10, 300, 1600, 900, 
158, 0.025236, 160, 3, 10, 300, 1600, 900, 
159, 0.023279, 160, 3, 10, 300, 1600, 900, 
160, 0.024348, 160, 3, 10, 300, 1600, 900, 
161, 0.020891, 160, 3, 10, 300, 1600, 900, 
162, 0.020627, 160, 3, 10, 300, 1600, 900, 
163, 0.022958, 160, 3, 10, 300, 1600, 900, 
164, 0.021552, 160, 3, 10, 300, 1600, 900, 
165, 0.020455, 160, 3, 10, 300, 1600, 900, 
166, 0.021182, 160, 3, 10, 300, 1600, 900, 
167, 0.021659, 160, 3, 10, 300, 1600, 900, 
168, 0.020433, 160, 3, 10, 300, 1600, 900, 
169, 0.020224, 160, 3, 10, 300, 1600, 900, 
170, 0.024117, 160, 3, 10, 300, 1600, 900, 
171, 0.025263, 160, 3, 10, 300, 1600, 900, 
172, 0.022266, 160, 3, 10, 300, 1600, 900, 
173, 0.022995, 160, 3, 10, 300, 1600, 900, 
174, 0.021101, 160, 3, 10, 300, 1600, 900, 
175, 0.022388, 160, 3, 10, 300, 1600, 900, 
176, 0.023063, 160, 3, 10, 300, 1600, 900, 
177, 0.021766, 160, 3, 10, 300, 1600, 900, 
178, 0.024500, 160, 3, 10, 300, 1600, 900, 
179, 0.021279, 160, 3, 10, 300, 1600, 900, 
180, 0.024033, 160, 3, 10, 300, 1600, 900, 
181, 0.025082, 160, 3, 10, 300, 1600, 900, 
182, 0.020548, 160, 3, 10, 300, 1600, 900, 
183, 0.021061, 160, 3, 10, 300, 1600, 900, 
184, 0.022451, 160, 3, 10, 300, 1600, 900, 
185, 0.020216, 160, 3, 10, 300, 1600, 900, 
186, 0.019550, 160, 3, 10, 300, 1600, 900, 
187, 0.020983, 160, 3, 10, 300, 1600, 900, 
188, 0.024112, 160, 3, 10, 300, 1600, 900, 
189, 0.019960, 160, 3, 10, 300, 1600, 900, 
190, 0.019305, 160, 3, 10, 300, 1600, 900, 
191, 0.020505, 160, 3, 10, 300, 1600, 900, 
192, 0.021741, 160, 3, 10, 300, 1600, 900, 
193, 0.019616, 160, 3, 10, 300, 1600, 900, 
194, 0.018707, 160, 3, 10, 300, 1600, 900, 
195, 0.021176, 160, 3, 10, 300, 1600, 900, 
196, 0.021460, 160, 3, 10, 300, 1600, 900, 
197, 0.020510, 160, 3, 10, 300, 1600, 900, 
198, 0.018214, 160, 3, 10, 300, 1600, 900, 
199, 0.016930, 160, 3, 10, 300, 1600, 900, 
200, 0.017280, 160, 3, 10, 300, 1600, 900, 
201, 0.018579, 160, 3, 10, 300, 1600, 900, 
202, 0.017672, 160, 3, 10, 300, 1600, 900, 
203, 0.017213, 160, 3, 10, 300, 1600, 900, 
204, 0.017242, 160, 3, 10, 300, 1600, 900, 
205, 0.017385, 160, 3, 10, 300, 1600, 900, 
206, 0.016899, 160, 3, 10, 300, 1600, 900, 
207, 0.016828, 160, 3, 10, 300, 1600, 900, 
208, 0.016817, 160, 3, 10, 300, 1600, 900, 
209, 0.017994, 160, 3, 10, 300, 1600, 900, 
210, 0.017478, 160, 3, 10, 300, 1600, 900, 
211, 0.017580, 160, 3, 10, 300, 1600, 900, 
212, 0.018801, 160, 3, 10, 300, 1600, 900, 
213, 0.023638, 160, 3, 10, 300, 1600, 900, 
214, 0.028618, 160, 3, 10, 300, 1600, 900, 
215, 0.028272, 160, 3, 10, 300, 1600, 900, 
216, 0.028104, 160, 3, 10, 300, 1600, 900, 
217, 0.029755, 160, 3, 10, 300, 1600, 900, 
218, 0.028677, 160, 3, 10, 300, 1600, 900, 
219, 0.027307, 160, 3, 10, 300, 1600, 900, 
220, 0.028319, 160, 3, 10, 300, 1600, 900, 
221, 0.027702, 160, 3, 10, 300, 1600, 900, 
222, 0.026892, 160, 3, 10, 300, 1600, 900, 
223, 0.032592, 160, 3, 10, 300, 1600, 900, 
224, 0.035914, 160, 3, 10, 300, 1600, 900, 
225, 0.027257, 160, 3, 10, 300, 1600, 900, 
226, 0.026927, 160, 3, 10, 300, 1600, 900, 
227, 0.026740, 160, 3, 10, 300, 1600, 900, 
228, 0.029637, 160, 3, 10, 300, 1600, 900, 
229, 0.026072, 160, 3, 10, 300, 1600, 900, 
230, 0.025968, 160, 3, 10, 300, 1600, 900, 
231, 0.030920, 160, 3, 10, 300, 1600, 900, 
232, 0.029032, 160, 3, 10, 300, 1600, 900, 
233, 0.031230, 160, 3, 10, 300, 1600, 900, 
234, 0.025979, 160, 3, 10, 300, 1600, 900, 
235, 0.027360, 160, 3, 10, 300, 1600, 900, 
236, 0.025494, 160, 3, 10, 300, 1600, 900, 
237, 0.025825, 160, 3, 10, 300, 1600, 900, 
238, 0.029189, 160, 3, 10, 300, 1600, 900, 
239, 0.025426, 160, 3, 10, 300, 1600, 900, 
240, 0.027290, 160, 3, 10, 300, 1600, 900, 
241, 0.025659, 160, 3, 10, 300, 1600, 900, 
242, 0.025186, 160, 3, 10, 300, 1600, 900, 
243, 0.028510, 160, 3, 10, 300, 1600, 900, 
244, 0.024889, 160, 3, 10, 300, 1600, 900, 
245, 0.025275, 160, 3, 10, 300, 1600, 900, 
246, 0.024947, 160, 3, 10, 300, 1600, 900, 
247, 0.025118, 160, 3, 10, 300, 1600, 900, 
248, 0.026420, 160, 3, 10, 300, 1600, 900, 
249, 0.023260, 160, 3, 10, 300, 1600, 900, 
250, 0.023461, 160, 3, 10, 300, 1600, 900, 
251, 0.027762, 160, 3, 10, 300, 1600, 900, 
252, 0.023941, 160, 3, 10, 300, 1600, 900, 
253, 0.023058, 160, 3, 10, 300, 1600, 900, 
254, 0.026792, 160, 3, 10, 300, 1600, 900, 
255, 0.024486, 160, 3, 10, 300, 1600, 900, 
256, 0.024906, 160, 3, 10, 300, 1600, 900, 
257, 0.023330, 160, 3, 10, 300, 1600, 900, 
258, 0.023786, 160, 3, 10, 300, 1600, 900, 
259, 0.024314, 160, 3, 10, 300, 1600, 900, 
260, 0.023967, 160, 3, 10, 300, 1600, 900, 
261, 0.024597, 160, 3, 10, 300, 1600, 900, 
262, 0.022874, 160, 3, 10, 300, 1600, 900, 
263, 0.023066, 160, 3, 10, 300, 1600, 900, 
264, 0.021291, 160, 3, 10, 300, 1600, 900, 
265, 0.022427, 160, 3, 10, 300, 1600, 900, 
266, 0.021880, 160, 3, 10, 300, 1600, 900, 
267, 0.020724, 160, 3, 10, 300, 1600, 900, 
268, 0.021672, 160, 3, 10, 300, 1600, 900, 
269, 0.022456, 160, 3, 10, 300, 1600, 900, 
270, 0.020469, 160, 3, 10, 300, 1600, 900, 
271, 0.019990, 160, 3, 10, 300, 1600, 900, 
272, 0.021889, 160, 3, 10, 300, 1600, 900, 
273, 0.021207, 160, 3, 10, 300, 1600, 900, 
274, 0.022491, 160, 3, 10, 300, 1600, 900, 
275, 0.020534, 160, 3, 10, 300, 1600, 900, 
276, 0.021550, 160, 3, 10, 300, 1600, 900, 
277, 0.020264, 160, 3, 10, 300, 1600, 900, 
278, 0.019630, 160, 3, 10, 300, 1600, 900, 
279, 0.020430, 160, 3, 10, 300, 1600, 900, 
280, 0.021103, 160, 3, 10, 300, 1600, 900, 
281, 0.020046, 160, 3, 10, 300, 1600, 900, 
282, 0.019101, 160, 3, 10, 300, 1600, 900, 
283, 0.018823, 160, 3, 10, 300, 1600, 900, 
284, 0.019459, 160, 3, 10, 300, 1600, 900, 
285, 0.019639, 160, 3, 10, 300, 1600, 900, 
286, 0.020006, 160, 3, 10, 300, 1600, 900, 
287, 0.019129, 160, 3, 10, 300, 1600, 900, 
288, 0.019401, 160, 3, 10, 300, 1600, 900, 
289, 0.018944, 160, 3, 10, 300, 1600, 900, 
290, 0.019956, 160, 3, 10, 300, 1600, 900, 
291, 0.018723, 160, 3, 10, 300, 1600, 900, 
292, 0.019646, 160, 3, 10, 300, 1600, 900, 
293, 0.018221, 160, 3, 10, 300, 1600, 900, 
294, 0.018856, 160, 3, 10, 300, 1600, 900, 
295, 0.017873, 160, 3, 10, 300, 1600, 900, 
296, 0.017322, 160, 3, 10, 300, 1600, 900, 
297, 0.017790, 160, 3, 10, 300, 1600, 900, 
298, 0.018043, 160, 3, 10, 300, 1600, 900, 
299, 0.017676, 160, 3, 10, 300, 1600, 900, 
300, 0.017263, 160, 3, 10, 300, 1600, 900, 
301, 0.017400, 160, 3, 10, 300, 1600, 900, 
