FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
109, 0.029904, 800, 1, 2, 900, 1600, 900, 
110, 0.030023, 800, 1, 2, 900, 1600, 900, 
111, 0.028187, 800, 1, 2, 900, 1600, 900, 
112, 0.031568, 800, 1, 2, 900, 1600, 900, 
113, 0.030853, 800, 1, 2, 900, 1600, 900, 
114, 0.029645, 800, 1, 2, 900, 1600, 900, 
115, 0.031764, 800, 1, 2, 900, 1600, 900, 
116, 0.033478, 800, 1, 2, 900, 1600, 900, 
117, 0.030084, 800, 1, 2, 900, 1600, 900, 
118, 0.033965, 800, 1, 2, 900, 1600, 900, 
119, 0.031135, 800, 1, 2, 900, 1600, 900, 
120, 0.030447, 800, 1, 2, 900, 1600, 900, 
121, 0.032500, 800, 1, 2, 900, 1600, 900, 
122, 0.030078, 800, 1, 2, 900, 1600, 900, 
123, 0.028450, 800, 1, 2, 900, 1600, 900, 
124, 0.030496, 800, 1, 2, 900, 1600, 900, 
125, 0.031937, 800, 1, 2, 900, 1600, 900, 
126, 0.033495, 800, 1, 2, 900, 1600, 900, 
127, 0.137152, 800, 1, 2, 900, 1600, 900, 
128, 0.116264, 800, 1, 2, 900, 1600, 900, 
129, 0.030337, 800, 1, 2, 900, 1600, 900, 
130, 0.045205, 800, 1, 2, 900, 1600, 900, 
131, 0.035303, 800, 1, 2, 900, 1600, 900, 
132, 0.031892, 800, 1, 2, 900, 1600, 900, 
133, 0.029712, 800, 1, 2, 900, 1600, 900, 
134, 0.030646, 800, 1, 2, 900, 1600, 900, 
135, 0.029720, 800, 1, 2, 900, 1600, 900, 
136, 0.029487, 800, 1, 2, 900, 1600, 900, 
137, 0.032122, 800, 1, 2, 900, 1600, 900, 
138, 0.030169, 800, 1, 2, 900, 1600, 900, 
139, 0.029683, 800, 1, 2, 900, 1600, 900, 
140, 0.030348, 800, 1, 2, 900, 1600, 900, 
141, 0.029176, 800, 1, 2, 900, 1600, 900, 
142, 0.036115, 800, 1, 2, 900, 1600, 900, 
143, 0.027246, 800, 1, 2, 900, 1600, 900, 
144, 0.027882, 800, 1, 2, 900, 1600, 900, 
145, 0.035671, 800, 1, 2, 900, 1600, 900, 
146, 0.028512, 800, 1, 2, 900, 1600, 900, 
147, 0.029848, 800, 1, 2, 900, 1600, 900, 
148, 0.030291, 800, 1, 2, 900, 1600, 900, 
149, 0.037712, 800, 1, 2, 900, 1600, 900, 
150, 0.030700, 800, 1, 2, 900, 1600, 900, 
151, 0.033880, 800, 1, 2, 900, 1600, 900, 
152, 0.029320, 800, 1, 2, 900, 1600, 900, 
